1,2,3,4,5,6
774792,794
774793,757
774794,712
774795,676
774796,630
774797,595
774798,571
774799,548
774800,527
774801,513
774802,477
774803,464
774804,456
774805,454
774806,455
774807,454
774808,446
774809,441
774810,432
774811,430
774812,452
774813,445
774814,433
774815,421
774816,409
774817,398
774818,398
774819,397
774820,397
774821,396
774822,373
774823,373
774824,382
774825,387
774826,397
774827,401
774828,400
774829,398
774830,397
774831,397
774832,421
774833,420
774834,412
774835,407
774836,394
774837,385
774838,385
774839,387
774840,385
774841,385
774842,363
774843,362
774844,373
774845,377
774846,394
774847,397
774848,397
774849,395
774850,395
774851,396
774852,421
774853,421
774854,411
774855,401
774856,385
774857,377
774858,377
774859,383
774860,383
774861,382
774862,360
774863,360
774864,371
774865,374
774866,385
774867,394
774868,394
774869,396
774870,395
774871,395
774872,429
774873,421
774874,411
774875,400
774876,385
774877,377
774878,376
774879,376
774880,376
774881,376
774882,348
774883,348
774884,361
774885,372
774886,393
774887,397
774888,408
774889,421
774890,456
774891,513
774984,421
774985,361
774986,340
774987,340
774988,394
774989,421
774990,446
774991,492
774992,546
774993,710
774994,828
774995,873
774996,848
774997,803
774998,713
774999,645
775000,582
775001,511
775002,421
775003,245
775004,142
775005,118
775006,161
775007,200
775008,272
775009,317
775010,360
775011,407
775012,465
775013,615
775014,712
775015,756
775016,732
775017,690
775018,621
775019,563
775020,512
775021,453
775022,377
775023,236
775024,160
775025,140
775026,174
775027,219
775028,280
775029,317
775030,352
775031,396
775032,447
775033,572
775034,654
775035,690
775036,674
775037,633
775038,572
775039,525
775040,478
775041,432
775042,373
775043,254
775044,187
775045,173
775046,201
775047,241
775048,291
775049,325
775050,353
775051,393
775052,440
775053,547
775054,616
775055,641
775056,620
775057,594
775058,538
775059,502
775060,464
775061,421
775062,372
775063,269
775064,211
775065,197
775066,220
775067,247
775068,293
775069,325
775070,349
775071,383
775072,423
775073,514
775074,573
775075,595
775076,583
775077,550
775078,511
775079,477
775080,446
775081,411
775082,363
775083,280
775085,231
775086,235
775087,283
775088,300
775089,327
775090,350
775091,377
775092,418
775093,492
775094,547
775095,562
775096,548
775097,526
775098,491
775099,457
775100,432
