1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
789212,883
789213,817
789214,766
789215,720
789216,687
789217,653
789218,628
789219,572
789220,545
789221,526
789222,521
789223,522
789224,513
789225,510
789226,500
789227,489
789228,478
789229,505
789230,506
789231,500
789232,478
789233,457
789234,442
789235,431
789236,430
789237,429
789238,429
789239,396
789240,395
789241,394
789242,409
789243,429
789244,432
789245,440
789246,439
789247,435
789248,433
789249,478
789250,477
789251,468
789252,454
789253,431
789254,418
789255,407
789256,410
789257,411
789258,411
789259,348
789260,325
789261,280
789262,281
789263,348
789264,406
789265,499
789266,506
789267,513
789268,512
789269,557
789270,676
789271,668
789272,595
789273,524
789274,466
789275,394
789276,364
789277,371
789278,349
789279,299
789280,91
789281,0
789282,7
789283,65
789284,128
789285,221
789286,292
789287,358
789288,419
789289,480
789290,674
789291,894
789292,1010
789293,1045
789294,1012
789295,928
789296,845
789297,756
789298,667
789299,571
789300,359
789301,150
789302,78
789303,92
789304,150
789305,235
789306,301
789307,359
789308,419
789309,478
789310,654
789311,859
789312,995
789313,988
789314,954
789315,881
789316,778
789317,719
789318,631
789319,549
789320,359
789321,173
789322,105
789323,117
789324,171
789325,247
789326,313
789327,364
789328,419
789329,477
789330,632
789331,813
789332,905
789333,926
789334,894
789335,823
789336,747
789337,684
789338,607
789339,535
789340,363
789341,199
789342,140
789343,154
789344,198
789345,269
789346,326
789347,373
789348,420
789349,475
789350,606
789351,757
789352,828
789353,844
789354,815
789355,746
789356,688
789357,631
789358,571
789359,504
789360,370
789361,235
789362,187
789363,198
789364,234
789365,291
789366,337
789367,396
789368,444
789369,456
789370,569
789371,695
789372,746
789373,756
789374,732
789375,677
789376,630
789377,582
789378,535
789379,478
789380,365
789381,258
789382,221
789383,231
789384,257
789385,309
789386,347
789387,382
789388,419
789389,454
789390,547
789391,642
789392,689
789393,695
789394,675
789395,629
789396,585
789397,547
789398,510
789399,467
789400,374
789401,284
789402,255
789403,258
789404,288
789405,325
789406,359
789407,387
789408,418
789409,445
789410,525
789411,605
789413,653
789414,628
789415,586
789416,550
789417,515
789418,490
789419,454
789420,375
789421,301
789422,278
789423,280
789424,301
789425,337
789426,363
789427,394
789428,417
789429,442
789430,510
789431,575
789432,606
789433,607
789434,594
789435,561
789436,535
789437,503
789438,476
789439,451
789440,383
789441,324
789442,301
789443,301
789444,324
789445,349
789446,372
789447,396
789448,418
789449,441
789450,499
789451,550
789452,581
789453,582
789454,567
789455,537
789456,513
789457,490
789458,466
789459,444
789460,387
789461,337
789462,315
789463,316
789464,335
789465,360
789466,388
789467,398
789468,419
789469,435
789470,489
789471,535
789472,559
789473,551
789474,545
789475,521
789476,500
789477,478
789478,457
789479,441
789480,394
789481,347
789482,329
789483,335
789484,347
789485,371
789486,385
789487,407
789488,419
789489,439
789490,478
789491,523
789492,538
789493,537
789494,526
789495,504
789496,489
789497,474
789498,455
789499,434
789500,396
789501,358
789502,340
789503,347
789504,352
789505,373
789506,387
789507,407
789508,418
789509,432
789510,467
789511,505
789512,523
789514,514
789515,490
789516,476
789517,464
789518,445
789519,432
789520,396
789521,362
789522,349
789523,351
789524,361
789525,377
789526,396
789527,408
789528,419
789529,432
789530,465
789531,493
789532,510
789533,505
789534,500
789535,480
789536,474
789537,457
789538,444
789539,432
789540,400
789541,373
789542,361
789543,362
789544,372
789545,384
789546,398
789547,410
789548,420
789549,430
789550,456
789551,488
789552,500
789553,500
789554,490
789555,476
789556,465
789557,453
789558,441
789559,431
789560,407
789561,375
789562,372
789563,372
789564,376
789565,394
789566,407
789567,411
789568,420
789569,431
789570,456
789571,478
789572,490
789573,491
789574,486
789575,469
789576,463
789577,451
789578,441
789579,431
789580,408
789581,377
789582,373
789583,375
789584,377
789585,395
789586,407
789587,410
789588,420
789589,430
789590,454
789591,476
789592,486
789593,478
789594,476
789595,465
789596,456
789597,446
789598,441
789599,430
789600,407
789601,384
789602,375
789603,376
789604,384
789605,396
789606,407
789607,417
789608,421
789609,431
789610,454
789611,467
789612,478
789613,476
789615,465
789616,451
789617,441
789618,433
789619,429
789620,408
789621,387
789622,383
789623,382
789624,388
789625,398
789626,409
789627,418
789628,419
789629,431
789630,447
789631,467
789632,475
789633,475
789634,467
789635,457
789636,453
