,Device 2
40082168,1508.0
40082169,1519.0
40082170,1473.0
40082171,1510.0
40082172,1508.0
40082173,1519.0
40082174,1520.0
40082175,1522.0
40082176,1530.0
40082177,1518.0
40082178,1528.0
40082179,1498.0
40082180,1530.0
40082181,1540.0
40082182,1530.0
40082183,1533.0
40082184,1494.0
40082185,1530.0
40082186,1532.0
40082187,1530.0
40082188,1544.0
40082189,1498.0
40082190,1540.0
40082191,1518.0
40082192,1539.0
40082193,1544.0
40082194,1535.0
40082195,1550.0
40082196,1508.0
40082197,1555.0
40082198,1542.0
40082199,1556.0
40082200,1556.0
40082201,1554.0
40082202,1556.0
40082203,1555.0
40082204,1568.0
40082205,1520.0
40082206,1564.0
40082207,1575.0
40082208,1563.0
40082209,1579.0
40082210,1530.0
40082211,1579.0
40082212,1579.0
40082213,1577.0
40082214,1585.0
40082215,1542.0
40082216,1579.0
40082217,1578.0
40082218,1586.0
40082219,1591.0
40082220,1555.0
40082221,1586.0
40082222,1567.0
40082223,1586.0
40082224,1590.0
40082225,1564.0
40082226,1590.0
40082227,1579.0
40082228,1588.0
40082229,1590.0
40082230,1586.0
40082231,1590.0
40082232,1555.0
40082233,1590.0
40082234,1599.0
40082235,1590.0
40082236,1599.0
40082237,1564.0
40082238,1603.0
40082239,1610.0
40082240,1610.0
40082241,1613.0
40082242,1567.0
40082243,1614.0
40082244,1621.0
40082245,1624.0
40082246,1626.0
40082247,1588.0
40082248,1624.0
40082249,1622.0
40082250,1625.0
40082251,1638.0
40082252,1633.0
40082253,1634.0
40082254,1591.0
40082255,1632.0
40082256,1635.0
40082257,1625.0
40082258,1634.0
40082259,1598.0
40082260,1634.0
40082261,1633.0
40082262,1633.0
40082263,1637.0
40082264,1633.0
40082265,1637.0
40082266,1612.0
40082267,1633.0
40082268,1597.0
40082269,1637.0
40082270,1609.0
40082271,1644.0
40082272,1626.0
40082273,1644.0
40082274,1599.0
40082275,1645.0
40082276,1613.0
40082277,1643.0
40082278,1625.0
