,Device 1
40750147,1555.0
40750148,1563.0
40750149,1510.0
40750150,1552.0
40750151,1555.0
40750152,1555.0
40750153,1518.0
40750154,1556.0
40750155,1564.0
40750156,1564.0
40750157,1521.0
40750158,1521.0
40750159,1556.0
40750160,1575.0
40750161,1564.0
40750162,1530.0
40750163,1566.0
40750164,1566.0
40750165,1578.0
40750166,1579.0
40750167,1579.0
40750168,1552.0
40750169,1542.0
40750170,1541.0
40750171,1546.0
40750172,1579.0
40750173,1585.0
40750174,1588.0
40750175,1591.0
40750176,1591.0
40750177,1563.0
40750178,1555.0
40750179,1552.0
40750180,1599.0
40750181,1590.0
40750182,1599.0
40750183,1602.0
40750184,1610.0
40750185,1586.0
40750186,1564.0
40750187,1564.0
40750188,1584.0
40750189,1609.0
40750190,1609.0
40750191,1612.0
40750192,1613.0
40750193,1614.0
40750194,1621.0
40750195,1590.0
40750196,1576.0
40750197,1575.0
40750198,1599.0
40750200,1576.0
40750201,1622.0
40750202,1609.0
40750203,1621.0
40750204,1624.0
40750205,1625.0
40750206,1578.0
40750207,1624.0
40750208,1634.0
40750209,1600.0
40750210,1633.0
40750211,1635.0
40750212,1637.0
40750213,1590.0
40750214,1634.0
40750215,1644.0
40750216,1603.0
40750217,1634.0
40750218,1644.0
40750219,1650.0
40750220,1613.0
40750221,1638.0
40750222,1650.0
40750223,1655.0
40750224,1610.0
40750225,1644.0
40750226,1655.0
40750227,1633.0
40750228,1610.0
40750229,1644.0
40750230,1655.0
40750231,1658.0
40750232,1612.0
40750233,1647.0
40750234,1654.0
40750235,1634.0
40750236,1645.0
40750237,1643.0
40750238,1650.0
40750239,1615.0
40750240,1644.0
40750241,1647.0
40750242,1645.0
40750243,1598.0
40750244,1644.0
40750245,1645.0
40750246,1634.0
40750247,1637.0
40750248,1644.0
40750249,1647.0
40750250,1590.0
40750251,1575.0
40750252,1637.0
40750253,1625.0
40750254,1599.0
40750255,1632.0
40750256,1633.0
40750257,1637.0
40750258,1626.0
40750259,1589.0
40750260,1579.0
40750261,1586.0
40750262,1609.0
40750263,1610.0
40750264,1613.0
40750265,1599.0
40750266,1555.0
40750267,1592.0
40750268,1590.0
40750269,1590.0
40750270,1591.0
40750271,1588.0
40750272,1575.0
40750273,1534.0
40750274,1532.0
40750275,1562.0
40750276,1555.0
40750277,1555.0
40750278,1554.0
40750279,1554.0
40750280,1541.0
40750281,1506.0
40750282,1494.0
40750283,1482.0
40750284,1482.0
40750285,1486.0
40750286,1506.0
40750287,1500.0
40750288,1498.0
40750289,1498.0
40750290,1498.0
40750291,1487.0
